,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,TYPE,YEAR,LAT,LNG
0,3401 W. Foster Ave.,Chicago,60625,8214.0,7614.0,8460.0,7414.0,7044.0,7970.0,9664.0,9069.0,7053.0,8012.0,6571.0,5924.0,93009.0,Circulation,2019,41.971155,-87.701816
1,13281 S. Corliss Ave.,Chicago,60827,378.0,326.0,332.0,270.0,320.0,325.0,354.0,229.0,234.0,377.0,369.0,500.0,4014.0,Circulation,2019,41.650765,-87.633087
2,5055 S. Archer Ave.,Chicago,60632,5365.0,5019.0,5417.0,5349.0,4833.0,4627.0,5356.0,4793.0,4537.0,5263.0,4051.0,3415.0,58025.0,Circulation,2019,41.810038,-87.711251
3,5615 W. Race Ave.,Chicago,60644,215.0,590.0,706.0,736.0,806.0,983.0,1134.0,1236.0,1193.0,1361.0,1286.0,1082.0,11328.0,Circulation,2019,41.881113,-87.756863
4,6100 W. Irving Park Rd.,Chicago,60634,9678.0,9764.0,10845.0,10541.0,9763.0,11442.0,11634.0,11063.0,9379.0,9932.0,8567.0,6492.0,119100.0,Circulation,2019,41.944967,-87.797373
5,8148 S. Stony Island Ave.,Chicago,60617,2910.0,2836.0,3086.0,3152.0,2942.0,3279.0,3460.0,3538.0,2910.0,3128.0,2585.0,2654.0,36480.0,Circulation,2019,41.721257,-87.556897
6,2111 W. 47th St.,Chicago,60609,2156.0,1856.0,2091.0,2593.0,1837.0,1772.0,2412.0,2393.0,1820.0,2286.0,1534.0,1715.0,24465.0,Circulation,2019,41.812017,-87.653382
7,1962 W. 95th St.,Chicago,60643,3937.0,4035.0,4177.0,3974.0,3769.0,4180.0,4425.0,4651.0,4013.0,4660.0,3980.0,3350.0,49151.0,Circulation,2019,41.700445,-87.662381
8,1226 W. Ainslie St.,Chicago,60640,8524.0,7113.0,8426.0,8151.0,8319.0,7785.0,8873.0,9245.0,8064.0,8695.0,7625.0,7536.0,98356.0,Circulation,2019,41.971888,-87.662232
9,4904 S. Lake Park Ave.,Chicago,60615,7981.0,7477.0,9197.0,8088.0,7609.0,9343.0,9804.0,9745.0,7941.0,8423.0,7648.0,6577.0,99833.0,Circulation,2019,41.801993,-87.602725
10,1350 W. 89th St.,Chicago,60620,677.0,623.0,649.0,837.0,878.0,969.0,720.0,850.0,897.0,841.0,659.0,604.0,9204.0,Circulation,2019,41.740873,-87.651656
11,4314 S. Archer Ave.,Chicago,60632,4157.0,3471.0,4160.0,3668.0,3650.0,3524.0,3759.0,4420.0,3786.0,4443.0,3223.0,2747.0,45008.0,Circulation,2019,41.810038,-87.711251
12,1701 N. Milwaukee Ave.,Chicago,60647,8642.0,8309.0,9764.0,8341.0,8659.0,9859.0,10344.0,10569.0,9277.0,9444.0,8693.0,7519.0,109420.0,Circulation,2019,41.921058,-87.701101
13,5630 N. Lincoln Ave.,Chicago,60659,8892.0,8935.0,9106.0,8191.0,7487.0,7449.0,8624.0,8233.0,7203.0,7790.0,7191.0,6498.0,95599.0,Circulation,2019,41.990803,-87.703266
