,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,TYPE,YEAR,LAT,LNG
162,11071 S. Hoyne Ave.,Chicago,60643,1084.0,1084.0,963.0,0.0,0.0,465.0,805.0,875.0,889.0,946.0,712.0,736.0,8559.0,Circulation,2020,41.700445,-87.662381
163,3401 W. Foster Ave.,Chicago,60625,7062.0,6338.0,3957.0,0.0,0.0,3130.0,5015.0,5095.0,4810.0,4807.0,4738.0,4295.0,49247.0,Circulation,2020,41.971155,-87.701816
164,8148 S. Stony Island Ave.,Chicago,60617,2531.0,2244.0,1798.0,0.0,0.0,917.0,1466.0,1349.0,1543.0,1935.0,1407.0,1609.0,16799.0,Circulation,2020,41.721257,-87.556897
165,1350 W. 89th St.,Chicago,60620,583.0,450.0,314.0,0.0,0.0,139.0,288.0,382.0,364.0,488.0,258.0,311.0,3577.0,Circulation,2020,41.740873,-87.651656
166,7454 W. Balmoral Ave.,Chicago,60656,6094.0,4772.0,3772.0,0.0,0.0,2792.0,4465.0,3772.0,4188.0,4486.0,4208.0,4134.0,42683.0,Circulation,2020,41.974566,-87.817934
167,1336 W. Taylor St.,Chicago,60607,5351.0,4915.0,3249.0,0.0,0.0,2876.0,3969.0,3816.0,3728.0,3814.0,3727.0,2341.0,37786.0,Circulation,2020,41.876104,-87.652727
168,5331 W. Devon Ave.,Chicago,60646,8446.0,6924.0,5378.0,0.0,2.0,4591.0,7465.0,7083.0,6899.0,6664.0,4243.0,6304.0,63999.0,Circulation,2020,41.993931,-87.761826
169,6151 S. Normal Blvd.,Chicago,60621,933.0,773.0,561.0,0.0,0.0,291.0,307.0,365.0,317.0,417.0,250.0,284.0,4498.0,Circulation,2020,41.776931,-87.638812
170,6000 N. Broadway St.,Chicago,60660,14221.0,13235.0,9551.0,0.0,35.0,6613.0,10245.0,9833.0,9739.0,10487.0,9853.0,9758.0,103570.0,Circulation,2020,41.991062,-87.666362
171,310 W. Division St.,Chicago,60610,8411.0,7896.0,4181.0,0.0,0.0,5435.0,8240.0,8014.0,8163.0,8189.0,7204.0,6765.0,72498.0,Circulation,2020,41.90455,-87.63581
172,642 W. 43rd St.,Chicago,60609,1538.0,1571.0,984.0,0.0,6.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,4120.0,Circulation,2020,41.812017,-87.653382
173,3400 S. Halsted St.,Chicago,60608,4460.0,4534.0,3439.0,0.0,0.0,2480.0,3809.0,3545.0,3804.0,4125.0,3450.0,3399.0,37045.0,Circulation,2020,41.849879,-87.670366
174,6 S. Hoyne Ave.,Chicago,60612,1728.0,1597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3325.0,Circulation,2020,41.88004,-87.687011
175,5108 W. Belmont Ave.,Chicago,60641,5674.0,4989.0,3519.0,0.0,0.0,2184.0,3091.0,3544.0,3445.0,3634.0,3233.0,2949.0,36262.0,Circulation,2020,41.946682,-87.746791
176,415 East 79th St.,Chicago,60619,1781.0,1655.0,1094.0,0.0,0.0,403.0,840.0,767.0,867.0,833.0,826.0,644.0,9710.0,Circulation,2020,41.744737,-87.60569
177,1000 E. 73rd St.,Chicago,60619,1265.0,1021.0,768.0,0.0,0.0,424.0,624.0,509.0,592.0,524.0,395.0,617.0,6739.0,Circulation,2020,41.744737,-87.60569
178,4101 W. 79th St.,Chicago,60652,1890.0,1661.0,1246.0,0.0,1.0,658.0,1059.0,1051.0,1013.0,1164.0,960.0,947.0,11650.0,Circulation,2020,41.745398,-87.714238
179,13281 S. Corliss Ave.,Chicago,60827,360.0,271.0,148.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,141.0,165.0,1109.0,Circulation,2020,41.650765,-87.633087
180,4020 W. 63rd St.,Chicago,60629,3340.0,2954.0,1835.0,0.0,0.0,897.0,1197.0,1345.0,1617.0,1535.0,1313.0,963.0,16996.0,Circulation,2020,41.777061,-87.711565
181,2111 W. 47th St.,Chicago,60609,1889.0,1847.0,1541.0,0.0,0.0,570.0,798.0,818.0,1087.0,1026.0,857.0,718.0,11151.0,Circulation,2020,41.812017,-87.653382
182,6907 N. Clark St.,Chicago,60626,8713.0,8311.0,5421.0,1.0,5.0,4386.0,7040.0,7083.0,7252.0,7167.0,3328.0,6867.0,65574.0,Circulation,2020,42.009469,-87.669834
183,6348 S. Archer Ave.,Chicago,60638,3964.0,3688.0,2942.0,0.0,0.0,1749.0,2711.0,2813.0,2934.0,2797.0,2528.0,2347.0,28473.0,Circulation,2020,41.787032,-87.771902
184,3436 S. King Dr.,Chicago,60616,2157.0,1770.0,1276.0,0.0,0.0,135.0,982.0,872.0,960.0,1057.0,876.0,1060.0,11145.0,Circulation,2020,41.844869,-87.629531
185,163 E. Pearson Street,Chicago,60611,5122.0,4327.0,3085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12534.0,Circulation,2020,41.894734,-87.620291
186,733 N. Kedzie Ave.,Chicago,60612,2800.0,2600.0,1643.0,0.0,0.0,1213.0,1310.0,1656.0,1598.0,1640.0,1237.0,1268.0,16965.0,Circulation,2020,41.88004,-87.687011
187,1605 N. Troy St.,Chicago,60647,4333.0,4248.0,3380.0,0.0,0.0,1815.0,2991.0,3186.0,3462.0,5922.0,3748.0,3161.0,36246.0,Circulation,2020,41.921058,-87.701101
188,4455 N. Lincoln Ave.,Chicago,60625,30141.0,28385.0,19560.0,0.0,1.0,14566.0,22356.0,22163.0,22489.0,22846.0,22776.0,21181.0,226464.0,Circulation,2020,41.971155,-87.701816
189,4904 S. Lake Park Ave.,Chicago,60615,7975.0,7461.0,4281.0,0.0,0.0,4583.0,6324.0,5951.0,6350.0,6111.0,5961.0,5840.0,60837.0,Circulation,2020,41.801993,-87.602725
190,5724 W. North Ave.,Chicago,60639,1072.0,869.0,573.0,0.0,0.0,410.0,647.0,703.0,796.0,705.0,682.0,636.0,7093.0,Circulation,2020,41.920609,-87.75531
191,1625 W. Chicago Ave.,Chicago,60622,4684.0,4537.0,3287.0,0.0,0.0,2582.0,3101.0,3382.0,3452.0,3847.0,3394.0,3269.0,35535.0,Circulation,2020,41.902762,-87.681818
192,5630 N. Lincoln Ave.,Chicago,60659,7384.0,6714.0,4696.0,0.0,0.0,3109.0,5321.0,5578.0,5659.0,6165.0,5467.0,5534.0,55627.0,Circulation,2020,41.990803,-87.703266
193,1150 W. Fullerton Ave.,Chicago,60614,12260.0,11556.0,7889.0,0.0,0.0,6265.0,9061.0,8792.0,8753.0,9925.0,8895.0,8669.0,92065.0,Circulation,2020,41.922605,-87.652064
194,1745 W. 63rd St.,Chicago,60636,1050.0,905.0,557.0,0.0,0.0,191.0,261.0,347.0,369.0,362.0,337.0,242.0,4621.0,Circulation,2020,41.77599,-87.668597
195,5055 S. Archer Ave.,Chicago,60632,3769.0,3498.0,2681.0,0.0,0.0,1398.0,2151.0,2103.0,2194.0,2365.0,1954.0,1816.0,23929.0,Circulation,2020,41.810038,-87.711251
196,3048 E. 130th St.,Chicago,60633,2020.0,1334.0,1404.0,0.0,0.0,602.0,1052.0,1113.0,1195.0,1219.0,652.0,888.0,11479.0,Circulation,2020,41.653147,-87.556037
197,4024 N. Elston Ave.,Chicago,60618,6652.0,7177.0,3946.0,0.0,0.0,3919.0,6265.0,5913.0,5559.0,5734.0,5356.0,5173.0,55694.0,Circulation,2020,41.946699,-87.703343
198,1805 S. Loomis St.,Chicago,60608,3456.0,2838.0,1732.0,2.0,0.0,1142.0,2019.0,2201.0,2296.0,2186.0,1783.0,1881.0,21536.0,Circulation,2020,41.849879,-87.670366
199,2505 E. 73rd St.,Chicago,60649,1.0,965.0,1088.0,0.0,0.0,643.0,851.0,876.0,977.0,1038.0,808.0,533.0,7780.0,Circulation,2020,41.762202,-87.571522
200,2100 S. Wentworth Ave.,Chicago,60616,6044.0,5774.0,3024.0,0.0,5.0,2783.0,3699.0,3788.0,3891.0,4285.0,3502.0,3539.0,40334.0,Circulation,2020,41.844869,-87.629531
201,3353 W. 13th St.,Chicago,60623,1112.0,879.0,577.0,0.0,0.0,235.0,368.0,311.0,418.0,414.0,276.0,195.0,4785.0,Circulation,2020,41.850321,-87.717446
202,3030 W. Fullerton Ave.,Chicago,60647,11156.0,10359.0,7846.0,0.0,1.0,4824.0,9139.0,8789.0,7514.0,3.0,5421.0,6871.0,71923.0,Circulation,2020,41.921058,-87.701101
203,6083 N. Northwest Hwy.,Chicago,60631,1518.0,4675.0,4110.0,0.0,0.0,3236.0,4845.0,2779.0,3830.0,4345.0,4095.0,3821.0,37254.0,Circulation,2020,41.995019,-87.813371
204,6871 W. Belden Ave.,Chicago,60707,732.0,628.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1705.0,Circulation,2020,41.921777,-87.808283
205,3104 N. Narragansett Ave.,Chicago,60634,4697.0,4840.0,4026.0,0.0,11.0,1249.0,2989.0,2957.0,3032.0,3390.0,3049.0,2782.0,33022.0,Circulation,2020,41.944967,-87.797373
206,1701 N. Milwaukee Ave.,Chicago,60647,9696.0,9222.0,6361.0,0.0,0.0,4494.0,6914.0,7265.0,7067.0,9118.0,7314.0,7422.0,74873.0,Circulation,2020,41.921058,-87.701101
207,4300 W. North Ave.,Chicago,60639,1733.0,1962.0,954.0,0.0,0.0,722.0,846.0,999.0,1102.0,1294.0,963.0,690.0,11265.0,Circulation,2020,41.920609,-87.75531
208,1915 W. 35th St.,Chicago,60609,4750.0,4363.0,3334.0,0.0,0.0,2296.0,3279.0,2914.0,2705.0,2790.0,2562.0,2022.0,31015.0,Circulation,2020,41.812017,-87.653382
209,830 W. 119th St.,Chicago,60643,1449.0,1491.0,1083.0,0.0,0.0,344.0,678.0,790.0,842.0,739.0,703.0,649.0,8768.0,Circulation,2020,41.700445,-87.662381
210,1962 W. 95th St.,Chicago,60643,3746.0,3822.0,3017.0,0.0,0.0,1937.0,2928.0,2817.0,2940.0,2793.0,2824.0,2349.0,29173.0,Circulation,2020,41.700445,-87.662381
211,115 S. Pulaski Rd.,Chicago,60624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,221.0,245.0,Circulation,2020,41.879417,-87.722735
212,2708 S. Pulaski Rd.,Chicago,60623,4410.0,3785.0,3086.0,0.0,0.0,1239.0,2000.0,1602.0,1921.0,2100.0,1959.0,1679.0,23781.0,Circulation,2020,41.850321,-87.717446
213,5615 W. Race Ave.,Chicago,60644,1315.0,1235.0,809.0,0.0,0.0,452.0,730.0,920.0,944.0,782.0,639.0,566.0,8392.0,Circulation,2020,41.881113,-87.756863
214,8530 S. Kedzie Ave.,Chicago,60652,1313.0,1244.0,1016.0,0.0,0.0,512.0,764.0,674.0,760.0,947.0,645.0,721.0,8596.0,Circulation,2020,41.745398,-87.714238
215,5363 W. Lawrence Ave.,Chicago,60630,6161.0,5460.0,4235.0,0.0,2.0,3067.0,4073.0,3099.0,3574.0,4299.0,4109.0,3663.0,41742.0,Circulation,2020,41.971261,-87.759611
216,4400 W. Lawrence Ave.,Chicago,60630,2929.0,2892.0,2079.0,0.0,0.0,1547.0,2408.0,2419.0,2662.0,2654.0,2626.0,2230.0,24446.0,Circulation,2020,41.971261,-87.759611
