,BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION,Type,Year
0,Walker,11071 S. Hoyne Ave.,Chicago,60643,1084,1084,963,0,0,465,805,875,889,946,712,736,8559,POINT (-87.674251 41.692445),Circulation,2020
1,Albany Park,3401 W. Foster Ave.,Chicago,60625,7062,6338,3957,0,0,3130,5015,5095,4810,4807,4738,4295,49247,POINT (-87.713595 41.975693),Circulation,2020
2,Avalon,8148 S. Stony Island Ave.,Chicago,60617,2531,2244,1798,0,0,917,1466,1349,1543,1935,1407,1609,16799,POINT (-87.585869 41.746322),Circulation,2020
3,Brainerd,1350 W. 89th St.,Chicago,60620,583,450,314,0,0,139,288,382,364,488,258,311,3577,POINT (-87.657726 41.732282),Circulation,2020
4,Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,6094,4772,3772,0,0,2792,4465,3772,4188,4486,4208,4134,42683,POINT (-87.813329 41.978015),Circulation,2020
5,Little Italy,1336 W. Taylor St.,Chicago,60607,5351,4915,3249,0,0,2876,3969,3816,3728,3814,3727,2341,37786,POINT (-87.660263 41.869359),Circulation,2020
6,Edgebrook,5331 W. Devon Ave.,Chicago,60646,8446,6924,5378,0,2,4591,7465,7083,6899,6664,4243,6304,63999,POINT (-87.762043 41.997245),Circulation,2020
7,Kelly,6151 S. Normal Blvd.,Chicago,60621,933,773,561,0,0,291,307,365,317,417,250,284,4498,POINT (-87.637516 41.78199),Circulation,2020
8,Edgewater,6000 N. Broadway St.,Chicago,60660,14221,13235,9551,0,35,6613,10245,9833,9739,10487,9853,9758,103570,POINT (-87.660344 41.990916),Circulation,2020
9,Near North,310 W. Division St.,Chicago,60610,8411,7896,4181,0,0,5435,8240,8014,8163,8189,7204,6765,72498,POINT (-87.636644 41.903838),Circulation,2020
10,Canaryville,642 W. 43rd St.,Chicago,60609,1538,1571,984,0,6,0,0,0,0,21,0,0,4120,POINT (-87.642569 41.81627),Circulation,2020
11,"Daley, Richard J.- Bridgeport",3400 S. Halsted St.,Chicago,60608,4460,4534,3439,0,0,2480,3809,3545,3804,4125,3450,3399,37045,POINT (-87.646149 41.8327),Circulation,2020
12,Manning,6 S. Hoyne Ave.,Chicago,60612,1728,1597,0,0,0,0,0,0,0,0,0,0,3325,POINT (-87.679091 41.881026),Circulation,2020
13,Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,5674,4989,3519,0,0,2184,3091,3544,3445,3634,3233,2949,36262,POINT (-87.754875 41.938748),Circulation,2020
14,"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1781,1655,1094,0,0,403,840,767,867,833,826,644,9710,POINT (-87.61416 41.751132),Circulation,2020
15,Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,1265,1021,768,0,0,424,624,509,592,524,395,617,6739,POINT (-87.600377 41.762277),Circulation,2020
16,Scottsdale,4101 W. 79th St.,Chicago,60652,1890,1661,1246,0,1,658,1059,1051,1013,1164,960,947,11650,POINT (-87.724291 41.749388),Circulation,2020
17,Altgeld,13281 S. Corliss Ave.,Chicago,60827,360,271,148,0,0,0,0,0,23,1,141,165,1109,POINT (-87.602139 41.653968),Circulation,2020
18,West Lawn,4020 W. 63rd St.,Chicago,60629,3340,2954,1835,0,0,897,1197,1345,1617,1535,1313,963,16996,POINT (-87.723756 41.778629),Circulation,2020
19,Back of the Yards,2111 W. 47th St.,Chicago,60609,1889,1847,1541,0,0,570,798,818,1087,1026,857,718,11151,POINT (-87.677601 41.808523),Circulation,2020
20,Rogers Park,6907 N. Clark St.,Chicago,60626,8713,8311,5421,1,5,4386,7040,7083,7252,7167,3328,6867,65574,POINT (-87.67344 42.006673),Circulation,2020
21,Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,3964,3688,2942,0,0,1749,2711,2813,2934,2797,2528,2347,28473,POINT (-87.780098 41.792854),Circulation,2020
22,King,3436 S. King Dr.,Chicago,60616,2157,1770,1276,0,0,135,982,872,960,1057,876,1060,11145,POINT (-87.61733500000001 41.832238000000004),Circulation,2020
23,Water Works,163 E. Pearson Street,Chicago,60611,5122,4327,3085,0,0,0,0,0,0,0,0,0,12534,POINT (-87.623239 41.89761),Circulation,2020
24,"Daley, Richard M.- W Humboldt",733 N. Kedzie Ave.,Chicago,60612,2800,2600,1643,0,0,1213,1310,1656,1598,1640,1237,1268,16965,POINT (-87.706545 41.89433),Circulation,2020
25,Humboldt Park,1605 N. Troy St.,Chicago,60647,4333,4248,3380,0,0,1815,2991,3186,3462,5922,3748,3161,36246,POINT (-87.705655 41.910536),Circulation,2020
26,Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,30141,28385,19560,0,1,14566,22356,22163,22489,22846,22776,21181,226464,POINT (-87.684637 41.962677),Circulation,2020
27,Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7975,7461,4281,0,0,4583,6324,5951,6350,6111,5961,5840,60837,POINT (-87.590213 41.80762),Circulation,2020
28,North Austin,5724 W. North Ave.,Chicago,60639,1072,869,573,0,0,410,647,703,796,705,682,636,7093,POINT (-87.768878 41.909401),Circulation,2020
29,West Town,1625 W. Chicago Ave.,Chicago,60622,4684,4537,3287,0,0,2582,3101,3382,3452,3847,3394,3269,35535,POINT (-87.668233 41.89606),Circulation,2020
30,Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,7384,6714,4696,0,0,3109,5321,5578,5659,6165,5467,5534,55627,POINT (-87.696439 41.983843),Circulation,2020
31,Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,12260,11556,7889,0,0,6265,9061,8792,8753,9925,8895,8669,92065,POINT (-87.658126 41.925316),Circulation,2020
32,West Englewood,1745 W. 63rd St.,Chicago,60636,1050,905,557,0,0,191,261,347,369,362,337,242,4621,POINT (-87.66821 41.779364),Circulation,2020
33,Archer Heights,5055 S. Archer Ave.,Chicago,60632,3769,3498,2681,0,0,1398,2151,2103,2194,2365,1954,1816,23929,POINT (-87.726723 41.801206),Circulation,2020
34,Hegewisch,3048 E. 130th St.,Chicago,60633,2020,1334,1404,0,0,602,1052,1113,1195,1219,652,888,11479,POINT (-87.548914 41.65915300000001),Circulation,2020
35,Independence,4024 N. Elston Ave.,Chicago,60618,6652,7177,3946,0,0,3919,6265,5913,5559,5734,5356,5173,55694,POINT (-87.719889 41.954219),Circulation,2020
36,Lozano,1805 S. Loomis St.,Chicago,60608,3456,2838,1732,2,0,1142,2019,2201,2296,2186,1783,1881,21536,POINT (-87.661298 41.857604),Circulation,2020
37,South Shore,2505 E. 73rd St.,Chicago,60649,1,965,1088,0,0,643,851,876,977,1038,808,533,7780,POINT (-87.563672 41.762654),Circulation,2020
38,Chinatown,2100 S. Wentworth Ave.,Chicago,60616,6044,5774,3024,0,5,2783,3699,3788,3891,4285,3502,3539,40334,POINT (-87.631794 41.854267),Circulation,2020
39,Douglass,3353 W. 13th St.,Chicago,60623,1112,879,577,0,0,235,368,311,418,414,276,195,4785,POINT (-87.709792 41.864527),Circulation,2020
40,Logan Square,3030 W. Fullerton Ave.,Chicago,60647,11156,10359,7846,0,1,4824,9139,8789,7514,3,5421,6871,71923,POINT (-87.703483 41.924806),Circulation,2020
41,Roden,6083 N. Northwest Hwy.,Chicago,60631,1518,4675,4110,0,0,3236,4845,2779,3830,4345,4095,3821,37254,POINT (-87.798265 41.991862),Circulation,2020
42,Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,732,628,345,0,0,0,0,0,0,0,0,0,1705,POINT (-87.79846800000001 41.921134),Circulation,2020
43,West Belmont,3104 N. Narragansett Ave.,Chicago,60634,4697,4840,4026,0,11,1249,2989,2957,3032,3390,3049,2782,33022,POINT (-87.785858 41.936833),Circulation,2020
44,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,9696,9222,6361,0,0,4494,6914,7265,7067,9118,7314,7422,74873,POINT (-87.680298 41.912224),Circulation,2020
45,North Pulaski,4300 W. North Ave.,Chicago,60639,1733,1962,954,0,0,722,846,999,1102,1294,963,690,11265,POINT (-87.733923 41.909856),Circulation,2020
46,McKinley Park,1915 W. 35th St.,Chicago,60609,4750,4363,3334,0,0,2296,3279,2914,2705,2790,2562,2022,31015,POINT (-87.67345 41.830421),Circulation,2020
47,West Pullman,830 W. 119th St.,Chicago,60643,1449,1491,1083,0,0,344,678,790,842,739,703,649,8768,POINT (-87.64332700000001 41.677819),Circulation,2020
48,Beverly,1962 W. 95th St.,Chicago,60643,3746,3822,3017,0,0,1937,2928,2817,2940,2793,2824,2349,29173,POINT (-87.672288 41.721148),Circulation,2020
49,Legler Regional,115 S. Pulaski Rd.,Chicago,60624,0,0,0,0,0,0,0,0,0,1,23,221,245,POINT (-87.725593 41.879302),Circulation,2020
