,BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location,Type,Year,LOCATION
0,Walker,11071 S. Hoyne Ave.,Chicago,60643,800,705,850,803,815,953,1098,914,880,1060,891,772,10541,POINT (-87.67426 41.692473),Circulation,2021,
1,Albany Park,3401 W. Foster Ave.,Chicago,60625,4274,3486,5170,4864,4561,5711,5983,5675,5603,5699,5370,5238,61634,POINT (-87.713595 41.975693),Circulation,2021,
2,Avalon,8148 S. Stony Island Ave.,Chicago,60617,1342,1099,1241,1264,1368,1378,1242,1432,1589,1476,1355,1217,16003,POINT (-87.585869 41.746322),Circulation,2021,
3,Brainerd,1350 W. 89th St.,Chicago,60620,311,349,501,60,85,278,197,280,277,337,314,332,3321,POINT (-87.657726 41.732282),Circulation,2021,
4,Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,4375,3797,4725,4339,4386,5128,5511,4719,4630,5156,4850,3057,54673,POINT (-87.813329 41.978015),Circulation,2021,
5,Little Italy,1336 W. Taylor St.,Chicago,60607,3978,3273,4237,3465,3835,4460,4906,4461,3842,3865,3896,3575,47793,POINT (-87.660263 41.869359),Circulation,2021,
6,Edgebrook,5331 W. Devon Ave.,Chicago,60646,6378,5498,6690,6451,5971,6744,7849,7082,6354,6003,6511,5137,76668,POINT (-87.76204 41.997245),Circulation,2021,
7,Kelly,6151 S. Normal Blvd.,Chicago,60621,323,268,303,270,274,332,355,533,399,439,470,368,4334,POINT (-87.637516 41.78199),Circulation,2021,
8,Edgewater,6000 N. Broadway St.,Chicago,60660,11193,10185,11125,10500,10898,11595,11650,10854,10376,10137,9685,9539,127737,POINT (-87.660306 41.990923),Circulation,2021,
9,Near North,310 W. Division St.,Chicago,60610,7399,6872,7910,7329,8085,8318,8412,7284,6777,6853,6639,498,82376,POINT (-87.636643 41.903838),Circulation,2021,
10,Canaryville,642 W. 43rd St.,Chicago,60609,0,0,0,0,0,0,131,869,1042,969,941,935,4887,POINT (-87.642569 41.81627),Circulation,2021,
11,"Daley, Richard J.- Bridgeport",3400 S. Halsted St.,Chicago,60608,4034,3152,3647,3708,3555,3532,3910,864,0,0,0,0,26402,POINT (-87.646149 41.8327),Circulation,2021,
12,Manning,6 S. Hoyne Ave.,Chicago,60612,0,0,0,0,0,0,0,7,171,547,620,530,1875,POINT (-87.679091 41.881026),Circulation,2021,
