,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,TYPE,YEAR
0,3401 W. Foster Ave.,Chicago,60625,8214.0,7614.0,8460.0,7414.0,7044.0,7970.0,9664.0,9069.0,7053.0,8012.0,6571.0,5924.0,93009.0,Circulation,2019
1,3401 W. Foster Ave.,Chicago,60625,8214.0,7614.0,8460.0,7414.0,7044.0,7970.0,9664.0,9069.0,7053.0,8012.0,6571.0,5924.0,93009.0,Visitors,2019
2,13281 S. Corliss Ave.,Chicago,60827,378.0,326.0,332.0,270.0,320.0,325.0,354.0,229.0,234.0,377.0,369.0,500.0,4014.0,Circulation,2019
3,13281 S. Corliss Ave.,Chicago,60827,378.0,326.0,332.0,270.0,320.0,325.0,354.0,229.0,234.0,377.0,369.0,500.0,4014.0,Visitors,2019
4,5055 S. Archer Ave.,Chicago,60632,5365.0,5019.0,5417.0,5349.0,4833.0,4627.0,5356.0,4793.0,4537.0,5263.0,4051.0,3415.0,58025.0,Circulation,2019
5,5055 S. Archer Ave.,Chicago,60632,5365.0,5019.0,5417.0,5349.0,4833.0,4627.0,5356.0,4793.0,4537.0,5263.0,4051.0,3415.0,58025.0,Visitors,2019
6,5615 W. Race Ave.,Chicago,60644,215.0,590.0,706.0,736.0,806.0,983.0,1134.0,1236.0,1193.0,1361.0,1286.0,1082.0,11328.0,Circulation,2019
7,5615 W. Race Ave.,Chicago,60644,215.0,590.0,706.0,736.0,806.0,983.0,1134.0,1236.0,1193.0,1361.0,1286.0,1082.0,11328.0,Visitors,2019
8,6100 W. Irving Park Rd.,Chicago,60634,9678.0,9764.0,10845.0,10541.0,9763.0,11442.0,11634.0,11063.0,9379.0,9932.0,8567.0,6492.0,119100.0,Circulation,2019
9,6100 W. Irving Park Rd.,Chicago,60634,9678.0,9764.0,10845.0,10541.0,9763.0,11442.0,11634.0,11063.0,9379.0,9932.0,8567.0,6492.0,119100.0,Visitors,2019
10,8148 S. Stony Island Ave.,Chicago,60617,2910.0,2836.0,3086.0,3152.0,2942.0,3279.0,3460.0,3538.0,2910.0,3128.0,2585.0,2654.0,36480.0,Circulation,2019
11,8148 S. Stony Island Ave.,Chicago,60617,2910.0,2836.0,3086.0,3152.0,2942.0,3279.0,3460.0,3538.0,2910.0,3128.0,2585.0,2654.0,36480.0,Visitors,2019
12,2111 W. 47th St.,Chicago,60609,2156.0,1856.0,2091.0,2593.0,1837.0,1772.0,2412.0,2393.0,1820.0,2286.0,1534.0,1715.0,24465.0,Circulation,2019
13,2111 W. 47th St.,Chicago,60609,2156.0,1856.0,2091.0,2593.0,1837.0,1772.0,2412.0,2393.0,1820.0,2286.0,1534.0,1715.0,24465.0,Visitors,2019
14,1962 W. 95th St.,Chicago,60643,3937.0,4035.0,4177.0,3974.0,3769.0,4180.0,4425.0,4651.0,4013.0,4660.0,3980.0,3350.0,49151.0,Circulation,2019
15,1962 W. 95th St.,Chicago,60643,3937.0,4035.0,4177.0,3974.0,3769.0,4180.0,4425.0,4651.0,4013.0,4660.0,3980.0,3350.0,49151.0,Visitors,2019
16,1226 W. Ainslie St.,Chicago,60640,8524.0,7113.0,8426.0,8151.0,8319.0,7785.0,8873.0,9245.0,8064.0,8695.0,7625.0,7536.0,98356.0,Circulation,2019
17,1226 W. Ainslie St.,Chicago,60640,8524.0,7113.0,8426.0,8151.0,8319.0,7785.0,8873.0,9245.0,8064.0,8695.0,7625.0,7536.0,98356.0,Visitors,2019
18,4904 S. Lake Park Ave.,Chicago,60615,7981.0,7477.0,9197.0,8088.0,7609.0,9343.0,9804.0,9745.0,7941.0,8423.0,7648.0,6577.0,99833.0,Circulation,2019
19,4904 S. Lake Park Ave.,Chicago,60615,7981.0,7477.0,9197.0,8088.0,7609.0,9343.0,9804.0,9745.0,7941.0,8423.0,7648.0,6577.0,99833.0,Visitors,2019
20,1350 W. 89th St.,Chicago,60620,677.0,623.0,649.0,837.0,878.0,969.0,720.0,850.0,897.0,841.0,659.0,604.0,9204.0,Circulation,2019
21,1350 W. 89th St.,Chicago,60620,677.0,623.0,649.0,837.0,878.0,969.0,720.0,850.0,897.0,841.0,659.0,604.0,9204.0,Visitors,2019
22,4314 S. Archer Ave.,Chicago,60632,4157.0,3471.0,4160.0,3668.0,3650.0,3524.0,3759.0,4420.0,3786.0,4443.0,3223.0,2747.0,45008.0,Circulation,2019
23,4314 S. Archer Ave.,Chicago,60632,4157.0,3471.0,4160.0,3668.0,3650.0,3524.0,3759.0,4420.0,3786.0,4443.0,3223.0,2747.0,45008.0,Visitors,2019
24,1701 N. Milwaukee Ave.,Chicago,60647,8642.0,8309.0,9764.0,8341.0,8659.0,9859.0,10344.0,10569.0,9277.0,9444.0,8693.0,7519.0,109420.0,Circulation,2019
25,1701 N. Milwaukee Ave.,Chicago,60647,8642.0,8309.0,9764.0,8341.0,8659.0,9859.0,10344.0,10569.0,9277.0,9444.0,8693.0,7519.0,109420.0,Visitors,2019
26,5630 N. Lincoln Ave.,Chicago,60659,8892.0,8935.0,9106.0,8191.0,7487.0,7449.0,8624.0,8233.0,7203.0,7790.0,7191.0,6498.0,95599.0,Circulation,2019
27,5630 N. Lincoln Ave.,Chicago,60659,8892.0,8935.0,9106.0,8191.0,7487.0,7449.0,8624.0,8233.0,7203.0,7790.0,7191.0,6498.0,95599.0,Visitors,2019
28,642 W. 43rd St.,Chicago,60609,1617.0,1426.0,1735.0,1527.0,1562.0,1646.0,1793.0,1845.0,1612.0,1933.0,1749.0,1666.0,20111.0,Circulation,2019
29,642 W. 43rd St.,Chicago,60609,1617.0,1426.0,1735.0,1527.0,1562.0,1646.0,1793.0,1845.0,1612.0,1933.0,1749.0,1666.0,20111.0,Visitors,2019
30,3647 S. State St.,Chicago,60609,862.0,991.0,936.0,731.0,859.0,817.0,1076.0,1056.0,970.0,1068.0,802.0,757.0,10925.0,Circulation,2019
31,3647 S. State St.,Chicago,60609,862.0,991.0,936.0,731.0,859.0,817.0,1076.0,1056.0,970.0,1068.0,802.0,757.0,10925.0,Visitors,2019
32,6120 S. Kedzie Ave.,Chicago,60629,2521.0,2415.0,2883.0,3005.0,2712.0,2618.0,3362.0,3220.0,2381.0,4.0,1624.0,1901.0,28646.0,Circulation,2019
33,6120 S. Kedzie Ave.,Chicago,60629,2521.0,2415.0,2883.0,3005.0,2712.0,2618.0,3362.0,3220.0,2381.0,4.0,1624.0,1901.0,28646.0,Visitors,2019
34,2100 S. Wentworth Ave.,Chicago,60616,8235.0,7775.0,9347.0,8221.0,8037.0,8501.0,8711.0,9063.0,7789.0,7748.0,7175.0,6707.0,97309.0,Circulation,2019
35,2100 S. Wentworth Ave.,Chicago,60616,8235.0,7775.0,9347.0,8221.0,8037.0,8501.0,8711.0,9063.0,7789.0,7748.0,7175.0,6707.0,97309.0,Visitors,2019
36,6423 W. 63rd Pl.,Chicago,60638,2534.0,2530.0,2557.0,2565.0,2800.0,2628.0,3158.0,3106.0,2594.0,588.0,958.0,1941.0,27959.0,Circulation,2019
37,6423 W. 63rd Pl.,Chicago,60638,2534.0,2530.0,2557.0,2565.0,2800.0,2628.0,3158.0,3106.0,2594.0,588.0,958.0,1941.0,27959.0,Visitors,2019
38,731 E. 63rd St.,Chicago,60637,2291.0,2446.0,2394.0,2464.0,2153.0,2517.0,2374.0,2244.0,26.0,1034.0,1675.0,1588.0,23206.0,Circulation,2019
39,731 E. 63rd St.,Chicago,60637,2291.0,2446.0,2394.0,2464.0,2153.0,2517.0,2374.0,2244.0,26.0,1034.0,1675.0,1588.0,23206.0,Visitors,2019
40,3400 S. Halsted St.,Chicago,60608,5280.0,4497.0,5730.0,5508.0,5332.0,5140.0,5897.0,5438.0,4696.0,5175.0,5016.0,3980.0,61689.0,Circulation,2019
41,3400 S. Halsted St.,Chicago,60608,5280.0,4497.0,5730.0,5508.0,5332.0,5140.0,5897.0,5438.0,4696.0,5175.0,5016.0,3980.0,61689.0,Visitors,2019
42,733 N. Kedzie Ave.,Chicago,60612,2492.0,2471.0,2734.0,2525.0,2348.0,2471.0,2453.0,2302.0,2753.0,3317.0,2655.0,2493.0,31014.0,Circulation,2019
43,733 N. Kedzie Ave.,Chicago,60612,2492.0,2471.0,2734.0,2525.0,2348.0,2471.0,2453.0,2302.0,2753.0,3317.0,2655.0,2493.0,31014.0,Visitors,2019
44,3353 W. 13th St.,Chicago,60623,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,423.0,821.0,1250.0,Circulation,2019
45,3353 W. 13th St.,Chicago,60623,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,423.0,821.0,1250.0,Visitors,2019
46,7455 W. Cornelia Ave.,Chicago,60634,4058.0,4305.0,4361.0,4329.0,3820.0,3835.0,4769.0,4348.0,4261.0,3534.0,3443.0,3183.0,48246.0,Circulation,2019
47,7455 W. Cornelia Ave.,Chicago,60634,4058.0,4305.0,4361.0,4329.0,3820.0,3835.0,4769.0,4348.0,4261.0,3534.0,3443.0,3183.0,48246.0,Visitors,2019
48,5331 W. Devon Ave.,Chicago,60646,8719.0,8489.0,9174.0,8587.0,8264.0,9335.0,10893.0,10515.0,8092.0,8733.0,7434.0,6568.0,104803.0,Circulation,2019
49,5331 W. Devon Ave.,Chicago,60646,8719.0,8489.0,9174.0,8587.0,8264.0,9335.0,10893.0,10515.0,8092.0,8733.0,7434.0,6568.0,104803.0,Visitors,2019
