Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
10/7/2020,548,1,26,59,163,117,85,63,34,18,9,0,269,278,1,212,11,78,175,18,54,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,4,3,6,4,3,0,13,13,0,8,0,9,8,0,1
11/23/2021,724,4,39,173,165,144,86,67,44,21,24,0,345,373,6,128,20,169,229,57,121,0,0,1,0,2,1,0,0,0,1,3,0,1,0,3,0,0,0,0,2,4,3,7,9,8,6,0,20,19,0,8,3,12,13,3,0
2/11/2021,438,10,38,64,102,82,58,61,44,19,8,0,212,226,0,137,20,79,141,20,41,0,0,0,2,2,3,0,3,0,2,8,0,5,0,3,2,0,0,3,5,3,2,5,11,6,3,0,20,18,0,12,2,16,8,0,0
3/4/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0
5/26/2020,751,23,77,61,159,128,137,128,76,40,22,0,393,353,5,410,20,139,74,34,74,0,0,0,0,2,8,9,4,0,8,15,0,7,1,12,3,0,0,2,4,6,8,27,13,9,8,0,42,35,0,29,1,30,13,1,3
9/7/2021,577,3,41,119,133,99,86,61,41,23,15,0,300,273,4,133,23,148,141,20,112,0,0,0,1,1,0,0,1,0,0,3,0,2,0,1,0,0,0,1,4,4,7,3,11,7,4,0,27,14,0,11,3,19,5,2,1
8/13/2020,391,4,24,39,118,79,72,40,24,11,8,0,211,178,2,188,8,72,96,13,14,0,0,0,0,1,0,3,0,0,1,3,0,2,0,1,1,0,0,0,4,2,5,0,6,5,2,0,15,9,0,8,0,11,3,2,0
11/14/2021,383,4,37,98,82,80,50,36,25,6,6,0,179,201,3,54,10,94,121,30,74,0,0,0,0,1,1,0,2,0,1,3,0,2,0,2,0,0,0,2,3,5,3,8,9,3,4,0,17,20,0,7,1,18,6,3,2
6/16/2020,210,11,24,18,58,37,32,32,21,3,9,0,117,92,1,81,6,60,28,6,29,0,1,0,2,3,1,2,2,0,5,6,0,9,0,1,1,0,0,1,4,2,3,3,5,2,4,0,16,8,0,7,1,12,3,0,1
4/5/2021,946,6,48,179,235,211,151,96,46,20,8,0,500,444,2,244,38,278,262,36,88,0,0,0,0,2,2,0,2,0,3,3,0,1,0,4,1,0,0,2,4,6,5,11,6,10,4,0,25,23,0,12,1,30,3,1,1
