,LOCATION_circulation,ADDRESS_circulation,CITY_circulation,ZIP,JANUARY_circulation,FEBRUARY_circulation,MARCH_circulation,APRIL_circulation,MAY_circulation,JUNE_circulation,JULY_circulation,AUGUST_circulation,SEPTEMBER_circulation,OCTOBER_circulation,NOVEMBER_circulation,DECEMBER_circulation,YTD_circulation,LOCATION_visitors,ADDRESS_visitors,CITY_visitors,JANUARY_visitors,FEBRUARY_visitors,MARCH_visitors,APRIL_visitors,MAY_visitors,JUNE_visitors,JULY_visitors,AUGUST_visitors,SEPTEMBER_visitors,OCTOBER_visitors,NOVEMBER_visitors,DECEMBER_visitors,YTD_visitors
0,Albany Park,3401 W. Foster Ave.,Chicago,60625,8214,7614,8460,7414,7044,7970,9664,9069,7053,8012,6571,5924,93009,Albany Park,3401 W. Foster Ave.,Chicago,10405.0,10594.0,11498.0,10867.0,10395.0,11171.0,11532.0,11387.0,11534.0,11677.0,9741.0,9454.0,130255.0
1,Albany Park,3401 W. Foster Ave.,Chicago,60625,8214,7614,8460,7414,7044,7970,9664,9069,7053,8012,6571,5924,93009,Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,24368.0,23998.0,32223.0,30983.0,37357.0,29641.0,33583.0,32266.0,29043.0,29043.0,30883.0,25256.0,358644.0
2,Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,31782,29305,33438,30611,29432,32036,33964,33231,29364,30507,29105,26755,369530,Albany Park,3401 W. Foster Ave.,Chicago,10405.0,10594.0,11498.0,10867.0,10395.0,11171.0,11532.0,11387.0,11534.0,11677.0,9741.0,9454.0,130255.0
3,Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,31782,29305,33438,30611,29432,32036,33964,33231,29364,30507,29105,26755,369530,Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,24368.0,23998.0,32223.0,30983.0,37357.0,29641.0,33583.0,32266.0,29043.0,29043.0,30883.0,25256.0,358644.0
4,Altgeld,13281 S. Corliss Ave.,Chicago,60827,378,326,332,270,320,325,354,229,234,377,369,500,4014,Altgeld,13281 S. Corliss Ave.,Chicago,2083.0,2358.0,2380.0,2127.0,2247.0,2484.0,2578.0,2512.0,2462.0,2678.0,2014.0,2273.0,28196.0
5,Archer Heights,5055 S. Archer Ave.,Chicago,60632,5365,5019,5417,5349,4833,4627,5356,4793,4537,5263,4051,3415,58025,Archer Heights,5055 S. Archer Ave.,Chicago,6378.0,7521.0,7809.0,7824.0,7162.0,6952.0,7835.0,7536.0,6908.0,8219.0,6679.0,5770.0,86593.0
6,Archer Heights,5055 S. Archer Ave.,Chicago,60632,5365,5019,5417,5349,4833,4627,5356,4793,4537,5263,4051,3415,58025,Brighton Park,4314 S. Archer Ave.,Chicago,4444.0,4593.0,4480.0,5680.0,4161.0,4514.0,5194.0,5142.0,4223.0,5799.0,4107.0,3349.0,55686.0
7,Archer Heights,5055 S. Archer Ave.,Chicago,60632,5365,5019,5417,5349,4833,4627,5356,4793,4537,5263,4051,3415,58025,Gage Park,2807 W. 55th St.,Chicago,2111.0,1979.0,2000.0,2177.0,2185.0,2569.0,3111.0,2967.0,2435.0,3834.0,2256.0,2082.0,29706.0
8,Brighton Park,4314 S. Archer Ave.,Chicago,60632,4157,3471,4160,3668,3650,3524,3759,4420,3786,4443,3223,2747,45008,Archer Heights,5055 S. Archer Ave.,Chicago,6378.0,7521.0,7809.0,7824.0,7162.0,6952.0,7835.0,7536.0,6908.0,8219.0,6679.0,5770.0,86593.0
9,Brighton Park,4314 S. Archer Ave.,Chicago,60632,4157,3471,4160,3668,3650,3524,3759,4420,3786,4443,3223,2747,45008,Brighton Park,4314 S. Archer Ave.,Chicago,4444.0,4593.0,4480.0,5680.0,4161.0,4514.0,5194.0,5142.0,4223.0,5799.0,4107.0,3349.0,55686.0
10,Brighton Park,4314 S. Archer Ave.,Chicago,60632,4157,3471,4160,3668,3650,3524,3759,4420,3786,4443,3223,2747,45008,Gage Park,2807 W. 55th St.,Chicago,2111.0,1979.0,2000.0,2177.0,2185.0,2569.0,3111.0,2967.0,2435.0,3834.0,2256.0,2082.0,29706.0
