,LOCATION,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Type,Year
0,Albany Park,3401 W. Foster Ave.,Chicago,60625,8214,7614,8460,7414,7044,7970,9664,9069,7053,8012,6571,5924,93009,Circulation,2019
1,Altgeld,13281 S. Corliss Ave.,Chicago,60827,378,326,332,270,320,325,354,229,234,377,369,500,4014,Circulation,2019
2,Archer Heights,5055 S. Archer Ave.,Chicago,60632,5365,5019,5417,5349,4833,4627,5356,4793,4537,5263,4051,3415,58025,Circulation,2019
3,Austin,5615 W. Race Ave.,Chicago,60644,215,590,706,736,806,983,1134,1236,1193,1361,1286,1082,11328,Circulation,2019
4,Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,9678,9764,10845,10541,9763,11442,11634,11063,9379,9932,8567,6492,119100,Circulation,2019
5,Avalon,8148 S. Stony Island Ave.,Chicago,60617,2910,2836,3086,3152,2942,3279,3460,3538,2910,3128,2585,2654,36480,Circulation,2019
6,Back of the Yards,2111 W. 47th St.,Chicago,60609,2156,1856,2091,2593,1837,1772,2412,2393,1820,2286,1534,1715,24465,Circulation,2019
7,Beverly,1962 W. 95th St.,Chicago,60643,3937,4035,4177,3974,3769,4180,4425,4651,4013,4660,3980,3350,49151,Circulation,2019
8,Bezazian,1226 W. Ainslie St.,Chicago,60640,8524,7113,8426,8151,8319,7785,8873,9245,8064,8695,7625,7536,98356,Circulation,2019
9,Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7981,7477,9197,8088,7609,9343,9804,9745,7941,8423,7648,6577,99833,Circulation,2019
10,Brainerd,1350 W. 89th St.,Chicago,60620,677,623,649,837,878,969,720,850,897,841,659,604,9204,Circulation,2019
11,Brighton Park,4314 S. Archer Ave.,Chicago,60632,4157,3471,4160,3668,3650,3524,3759,4420,3786,4443,3223,2747,45008,Circulation,2019
12,Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,8642,8309,9764,8341,8659,9859,10344,10569,9277,9444,8693,7519,109420,Circulation,2019
13,Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,8892,8935,9106,8191,7487,7449,8624,8233,7203,7790,7191,6498,95599,Circulation,2019
14,Canaryville,642 W. 43rd St.,Chicago,60609,1617,1426,1735,1527,1562,1646,1793,1845,1612,1933,1749,1666,20111,Circulation,2019
15,Chicago Bee,3647 S. State St.,Chicago,60609,862,991,936,731,859,817,1076,1056,970,1068,802,757,10925,Circulation,2019
